ID,employ,gender_us,age_us,birthyr,region_us,division,inputstate,race,educ,marstat,sexuality,child18,faminc_new,social_nets_mem__1,social_nets_mem__2,social_nets_mem__3,social_nets_mem__4,social_nets_mem__5,social_nets_mem__6,social_nets_mem__7,social_nets_mem__8,social_nets_mem__9,social_nets_mem__10,social_nets_mem__11,social_nets_mem__12,social_nets_mem__13,social_nets_mem__97,social_nets_mem__98,social_nets_mem__99,social_nets_mem_other,inputzipdma_recode,hholdsize,e14_presvote12,presvote16post,ideo5,votereg,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B3,age_cross,faminc_new_r,race_w8,race_xbreak,educ_w8,age_gender,w_age_gender,w_demogs,country,age_int_all,age_grp_all,gender,age,region,duration,weight_pol
702,1,2,44,1973,3,7,48,1,5,1,1,2,97,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0, ,623,2,1,2,3,1,1,3,1,1,1,1,2,5,5,4,5,5,2,2,4,1,1,3,5,8,63,230,44,3,2,44,3,6.95,.38053053
703,2,2,18,1999,3,7,40,1,1,5,1,2,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0, ,671,8,4,7,4,2,5,5,1,5,5,5,5,5,5,5,5,5,3,1,1,1,1,1,4,6,49,230,18,1,2,18,3,15.5666666667,1.779060648
704,1,2,39,1978,4,9,6,1,5,1,1,1,12,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0, ,807,4,4,1,1,1,2,5,2,2,3,2,4,3,3,4,5,3,3,2,3,1,1,3,5,8,63,230,39,3,2,39,4,51.5,.669804823
705,1,1,28,1989,3,5,24,1,4,5,1,2,3,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0, ,512,2,4,2,3,1,2,4,1,1,1,1,3,3,4,3,3,4,2,1,1,1,1,2,1,2,2,230,28,2,1,28,3,31.8666666667,.678226632
706,1,2,58,1960,2,4,29,1,3,1,1,2,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,616,2,2,2,5,1,1,2,1,1,1,1,2,1,4,3,1,5,5,3,3,1,1,2,6,10,74,230,58,5,2,58,2,11.25,.683358011
707,1,1,38,1979,1,1,9,3,2,5,1,2,97,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, ,533,3,4,7,3,2,1,3,4,3,4,4,5,3,4,3,5,3,4,2,4,3,3,1,2,3,21,230,38,3,1,38,1,7.25,3.40680259
708,1,2,63,1954,4,9,6,1,6,1,1,2,9,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0, ,803,2,1,1,1,1,1,1,2,1,1,2,4,3,3,4,3,2,5,3,3,1,1,4,6,10,76,230,63,5,2,63,4,15.4333333333,.735646673
709,5,2,64,1953,4,9,41,1,3,6,1,2,8,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0, ,820,2,1,1,1,1,2,2,3,1,4,1,5,5,4,5,5,5,4,3,2,1,1,2,6,10,74,230,64,5,2,64,4,25.2833333333,.665886452
710,8,1,24,1993,4,9,6,1,3,5,6,2,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,825,5,3,3,3,1,2,1,3,4,3,3,2,5,3,2,2,5,3,1,2,1,1,2,1,1,2,230,24,1,1,24,4,12.4333333333,.314874547
711,6,1,57,1960,4,9,41,1,3,1,1,2,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0, ,820,4,1,4,1,1,5,5,5,2,4,4,5,3,5,4,3,1,5,3,2,1,1,2,3,5,26,230,57,5,1,57,4,15.5166666667,.34693512
712,2,2,52,1966,2,3,39,1,2,1,1,2,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0, ,536,2,2,2,3,1,2,2,2,1,3,1,3,2,4,4,3,4,5,2,3,1,1,1,5,9,73,230,52,4,2,52,2,12.6333333333,.659966269
713,5,2,64,1953,1,2,36,1,3,1,1,2,9,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0, ,501,2,4,1,3,1,2,2,1,1,2,1,3,4,1,4,4,2,5,3,3,1,1,2,6,10,74,230,64,5,2,64,1,32.3333333333,.684628515
714,5,2,48,1969,3,7,22,1,4,4,1,1,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0, ,622,4,1,7,3,1,2,1,2,1,2,1,3,1,1,2,3,4,5,2,1,1,1,2,5,9,74,230,48,4,2,48,3,241.5,.973995857
715,5,1,64,1953,3,5,51,2,4,1,1,2,7,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0, ,573,2,4,1,2,1,2,2,2,1,2,1,4,2,4,3,3,4,4,3,2,2,2,2,3,5,30,230,64,5,1,64,3,33.8666666667,.885710638
716,4,1,58,1960,3,7,48,3,2,3,1,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0, ,641,1,4,7,3,1,2,3,1,1,3,2,3,1,4,3,2,3,5,3,1,3,3,1,3,5,33,230,58,5,1,58,3,19.5833333333,1.24798162
717,8,1,20,1997,3,7,48,2,3,5,5,2,97,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0, ,623,3,4,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,5,1,4,2,2,2,1,1,6,230,20,1,1,20,3,32.4,1.317325955
718,4,1,57,1960,3,7,22,2,2,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,642,2,4,7,6,1,4,1,5,1,4,1,1,1,1,1,1,2,5,3,1,2,2,1,3,5,29,230,57,5,1,57,3,14.9,1.45725631
719,5,2,60,1957,3,5,45,2,2,1,1,2,97,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0, ,546,4,4,7,3,1,4,5,5,1,5,5,4,4,4,5,4,2,4,3,4,2,2,1,6,10,77,230,60,5,2,60,3,15.7166666667,1.277948983
720,1,2,34,1983,1,2,36,1,2,1,1,1,7,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0, ,555,4,4,2,4,1,4,4,4,2,4,2,5,5,5,5,5,5,5,1,2,1,1,1,4,7,61,230,34,2,2,34,1,10.9,.342017765
721,6,2,62,1955,3,6,47,1,3,1,1,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,659,4,2,2,5,1,2,2,1,1,1,1,1,4,1,1,1,3,3,3,2,1,1,2,6,10,74,230,62,5,2,62,3,17.1666666667,.683358011
722,7,2,39,1978,1,2,36,1,3,6,1,1,6,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0, ,502,4,4,7,6,2,2,2,1,1,2,1,4,3,4,3,3,4,5,2,2,1,1,2,5,8,62,230,39,3,2,39,1,261.35,1.747360887
723,1,1,57,1960,1,1,9,1,2,1,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, ,533,3,2,2,3,1,3,2,2,1,2,2,4,4,4,4,4,4,4,3,2,1,1,1,3,5,25,230,57,5,1,57,1,15.6,.752565261
724,5,1,72,1945,3,7,48,4,5,1,1,2,9,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0, ,618,3,2,7,3,1,1,1,2,1,3,1,1,1,1,1,1,2,4,3,3,1,4,3,3,5,39,230,72,5,1,72,3,39.5333333333,2.231805021
725,9,2,54,1964,2,4,19,1,6,1,1,2,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,637,3,1,1,2,1,1,1,1,1,2,1,5,5,5,4,4,3,4,2,3,1,1,4,5,9,76,230,54,4,2,54,2,13.1333333333,.735646673
726,1,1,57,1960,3,7,48,1,6,1,1,2,14,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,635,2,4,2,2,1,1,1,2,1,2,1,3,3,4,3,4,5,2,3,3,1,1,4,3,5,28,230,57,5,1,57,3,69.3166666667,.503781886
727,1,2,50,1967,3,5,51,1,5,3,1,2,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,544,2,2,2,4,1,2,1,2,1,2,2,3,3,3,3,3,4,5,2,4,1,1,3,5,9,75,230,50,4,2,50,3,7.8,.754948603
728,1,2,29,1988,1,1,33,1,2,6,1,2,9,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0, ,506,2,4,2,3,1,2,2,2,3,4,2,3,1,4,4,3,4,2,1,3,1,1,1,4,7,49,230,29,2,2,29,1,23.2166666667,.360564826
729,2,1,44,1973,3,6,1,2,2,5,1,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0, ,686,2,1,1,6,1,1,2,1,1,4,1,1,3,4,4,1,1,5,2,1,2,2,1,2,3,17,230,44,3,1,44,3,14.4666666667,.796945116
730,6,1,54,1963,2,3,26,1,2,3,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,505,1,4,7,4,1,3,3,3,3,3,3,4,2,1,4,3,3,5,2,1,1,1,1,2,4,25,230,54,4,1,54,2,44.7833333333,1.10282802
731,2,1,35,1983,3,7,48,1,1,1,1,1,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0, ,618,5,4,2,3,1,3,3,3,3,3,2,3,3,3,3,3,3,2,2,2,1,1,1,2,3,13,230,35,3,1,35,3,11.7,.362202218
732,4,2,35,1982,2,4,29,3,1,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,604,2,4,7,1,1,1,2,1,2,1,1,1,1,2,2,2,2,3,2,1,3,3,1,5,8,69,230,35,3,2,35,2,6.6,.969192293
733,1,2,30,1987,3,5,24,3,5,1,1,1,97,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0, ,511,3,4,7,3,2,3,2,3,1,1,1,4,4,4,5,5,5,2,1,4,3,3,3,4,7,71,230,30,2,2,30,3,7.35,1.212533486
734,5,1,70,1947,4,9,6,7,2,1,1,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,807,2,4,3,6,1,4,5,3,1,1,5,5,3,4,5,4,2,5,3,2,1,4,1,3,5,37,230,70,5,1,70,4,22.1,.356641654
735,4,2,62,1955,4,8,35,1,2,3,6,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,790,1,4,7,2,1,1,2,1,1,1,1,1,1,1,2,1,2,2,3,1,1,1,1,6,10,73,230,62,5,2,62,4,13.1333333333,.967131133
736,2,2,37,1980,4,9,6,3,2,5,1,1,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0, ,803,2,4,7,3,1,2,1,2,1,1,1,3,3,4,3,3,1,5,2,1,3,3,1,5,8,69,230,37,3,2,37,4,11.9833333333,.969192293
737,2,2,29,1988,3,7,48,3,2,1,1,1,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0, ,600,8,4,2,3,1,4,3,3,1,3,1,5,5,5,5,5,5,2,1,2,3,3,1,4,7,57,230,29,2,2,29,3,739.516666667,.408022164
738,1,2,49,1968,1,2,36,1,2,1,1,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,502,4,4,2,5,1,1,1,3,1,3,1,4,4,3,3,2,4,5,2,3,1,1,1,5,9,73,230,49,4,2,49,1,37.85,.386210853
739,1,1,50,1967,4,9,15,1,6,1,1,2,10,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0, ,744,3,1,1,1,1,2,1,4,1,3,3,4,4,5,4,4,4,5,2,3,1,1,4,2,4,28,230,50,4,1,50,4,12.6,.838864281
740,1,2,27,1990,3,5,13,2,4,5,1,1,4,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0, ,525,2,4,1,6,1,5,4,4,5,4,4,5,5,3,5,4,5,2,1,1,2,2,2,4,7,54,230,27,2,2,27,3,17.25,.725150779
741,6,2,27,1990,4,9,6,3,2,5,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,803,3,4,7,6,2,5,5,5,1,4,4,5,5,5,5,3,5,5,1,1,3,3,1,4,7,57,230,27,2,2,27,4,6.18333333333,2.013219604
742,4,2,34,1983,1,2,42,2,3,5,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0, ,504,2,1,1,6,1,1,2,2,2,2,1,1,1,3,1,2,3,5,1,1,2,2,2,4,7,66,230,34,2,2,34,1,10.8,.669019566
743,5,1,62,1955,3,5,51,1,2,5,1,2,97,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0, ,544,2,4,2,4,1,1,1,3,1,3,2,5,4,5,4,5,5,4,3,4,1,1,1,3,5,25,230,62,5,1,62,3,8.16666666667,.440399585
744,7,2,52,1965,3,5,51,1,4,1,1,2,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,573,4,2,2,5,1,4,1,3,1,4,1,4,1,4,4,4,4,4,2,3,1,1,2,5,9,74,230,52,4,2,52,3,9.76666666667,.683358011
745,7,2,40,1977,1,2,42,1,6,5,1,2,10,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0, ,574,2,1,2,3,1,1,3,1,2,2,1,3,3,4,4,3,5,3,2,3,1,1,4,5,8,64,230,40,3,2,40,1,22.1833333333,.38053053
746,1,1,51,1966,4,9,6,1,6,1,1,2,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,803,3,4,2,4,1,4,4,4,4,4,4,5,5,5,5,5,5,5,2,3,1,1,4,2,4,28,230,51,4,1,51,4,14.15,.503781886
747,1,2,25,1992,1,2,42,1,2,6,1,1,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0, ,577,3,4,1,2,1,2,2,2,1,2,1,1,1,3,2,1,3,5,1,1,1,1,1,4,7,49,230,25,2,2,25,1,9.93333333333,.617287265
748,1,1,55,1962,2,3,26,1,5,3,1,1,11,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0, ,505,1,1,7,3,1,2,2,4,1,4,1,3,2,4,4,3,4,5,3,3,1,1,3,3,5,27,230,55,5,1,55,2,19.9166666667,1.227011501
749,7,2,45,1972,3,7,40,1,2,1,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,650,3,2,2,4,1,2,1,1,1,2,2,4,3,3,5,4,5,5,2,1,1,1,1,5,9,73,230,45,4,2,45,3,11.0833333333,.659966269
750,1,1,36,1981,3,5,45,2,3,5,3,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0, ,546,1,1,1,2,1,3,2,2,2,2,1,3,3,4,3,3,3,5,2,1,2,2,2,2,3,18,230,36,3,1,36,3,683.816666667,.708502294
751,7,2,56,1961,4,9,6,3,3,1,1,1,97,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0, ,803,6,4,2,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,3,3,2,6,10,82,230,56,5,2,56,4,220.683333333,.358656722
752,1,1,25,1992,3,5,37,1,4,1,1,1,5,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0, ,560,3,1,4,2,1,2,2,2,2,2,3,4,3,4,1,3,3,3,1,2,1,1,2,1,2,2,230,25,2,1,25,3,12.1,.515999942
753,6,2,56,1962,2,3,26,1,2,1,1,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0, ,563,6,1,1,1,1,1,2,2,1,5,2,2,1,1,4,3,1,5,3,1,1,1,1,6,10,73,230,56,5,2,56,2,16.25,.643092772
754,1,2,42,1975,3,5,12,2,3,5,3,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,539,4,4,7,3,3,2,2,3,1,3,2,4,3,4,4,3,2,4,2,2,2,2,2,5,8,66,230,42,3,2,42,3,8.55,1.982426342
755,1,2,38,1980,2,4,29,5,4,2,1,1,6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0, ,609,2,2,2,4,1,1,2,1,1,3,1,5,5,5,2,1,2,1,2,2,1,4,2,5,8,62,230,38,3,2,38,2,3.81666666667,.605163158
756,1,1,42,1975,3,5,37,1,5,1,1,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,517,4,4,2,5,1,2,1,3,1,2,1,4,5,4,3,3,5,5,2,3,1,1,3,2,3,15,230,42,3,1,42,3,13.7,.414330355
757,1,2,58,1959,3,5,12,1,3,6,1,2,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,686,2,2,1,2,1,1,1,1,1,1,1,3,3,4,3,3,4,5,3,2,1,1,2,6,10,74,230,58,5,2,58,3,9.6,1.169909451
758,2,2,40,1977,3,6,21,1,3,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,541,3,4,3,4,1,1,1,1,1,4,1,5,5,2,5,4,4,1,2,1,1,1,2,5,8,62,230,40,3,2,40,3,13.2833333333,.277015987
759,5,2,61,1956,2,3,26,1,6,5,1,2,5,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0, ,505,1,1,7,4,1,4,2,4,1,2,2,5,1,4,5,4,5,5,3,2,1,1,4,6,10,76,230,61,5,2,61,2,15.8666666667,1.076034524
760,8,2,33,1984,3,5,51,1,3,1,1,1,6,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0, ,573,4,1,1,2,1,1,1,2,1,2,1,2,3,3,2,2,1,3,1,2,1,1,2,4,7,62,230,33,2,2,33,3,16.7333333333,.589690823
761,2,2,38,1979,3,5,37,1,3,5,1,2,3,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0, ,517,3,2,2,5,1,4,3,3,1,4,2,5,3,4,3,4,5,5,2,1,1,1,2,5,8,62,230,38,3,2,38,3,17.6833333333,.605163158
762,2,2,25,1993,1,2,42,1,2,3,4,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0, ,504,4,4,2,6,1,2,5,5,1,4,5,2,5,1,3,1,3,5,1,1,1,1,1,4,7,49,230,25,2,2,25,1,12.4833333333,.360564826
