ID,split_text,starttime,endtime,gender,age,geo_state_au,metro_regional,localincome_annual_au,employment_status_au,education_a_au,numberofchildren,agegroup1,agegroup2,au_pol_pastvote_2016,political_interest,maritalstatus,household_size,localincome_au,geo_GQSA_au_interlude,social_au_1,social_au_2,social_au_3,social_au_4,social_au_5,social_au_6,social_au_7,social_au_8,social_au_9,social_au_10,social_au_11,social_au_12,social_au_13,social_au_14,social_au_15,social_au_99,educ,Q1,Q1_1,Q1_2,Q1_3,Q2,Q3,Q4,Q5,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q5_10,Q6,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,weight0,weight1
951,in the year since Donald Trump became President?,12/8/2017,12/8/2017,1,63,4,1,2,1,3,2,5,5,1,1,2,3,2,7,1,1,9,1,9,9,9,9,9,9,9,9,9,9,9,9,2,1,2,2,3,3,5,2,1,3,2,3,2,1,2,3,3,2,4,1,4,3,3,2,2,3,4,4,3,4,.903695758969864,1.12888360016846
960,in the year since Donald Trump became President?,12/7/2017,12/7/2017,1,62,4,1,2,5,4,7,5,5,97,2,5,1,8,7,1,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,3,1,2,2,2,1,4,4,1,4,3,3,4,1,2,3,3,3,4,1,3,3,3,3,2,2,3,3,4,4,.903695758969864,.398353109468443
971,in the year since Donald Trump became President?,12/7/2017,12/7/2017,2,78,4,1,1,5,4,7,6,5,2,2,1,2,1,7,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,2,2,2,4,2,1,3,3,2,3,1,1,2,1,2,2,1,5,3,2,3,2,2,3,3,3,3,.874746789976588,1.29827219845387
157,since the end of the Obama Administration?,12/7/2017,12/7/2017,1,77,4,2,3,5,2,7,6,5,7,2,1,2,2,8,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,1,1,2,2,2,3,2,4,1,4,2,2,1,1,2,2,2,2,3,1,4,3,2,2,2,2,3,3,3,3,1.58810776774082,1.83450780032421
190,in the year since Donald Trump became President?,12/7/2017,12/7/2017,2,66,4,1,4,5,4,7,6,5,2,2,1,2,3,8,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,1,2,2,2,3,3,4,1,4,3,3,2,1,1,2,2,3,2,1,4,3,3,3,2,2,3,3,3,3,1.79429211112805,1.96057863146828
211,in the last year?,12/8/2017,12/8/2017,2,44,4,2,4,2,4,1,3,3,12,2,1,2,3,8,1,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,3,1,2,3,2,2,5,3,1,3,3,3,4,1,3,4,4,4,4,1,3,3,3,4,2,3,3,3,4,4,1.65697176292414,1.25971683956422
239,in the year since Donald Trump became President?,12/8/2017,12/8/2017,2,51,4,2,2,8,2,1,4,4,99,4,3,2,2,8,1,1,9,9,9,9,9,9,1,9,9,9,9,9,1,9,1,1,2,2,3,3,4,5,1,4,3,3,4,1,2,2,4,4,4,1,4,3,3,3,2,3,3,3,3,3,1.55582659401357,1.0449071662246
251,in the last year?,12/7/2017,12/7/2017,2,75,4,1,4,5,4,7,6,5,99,1,1,2,8,8,1,1,2,1,1,2,1,2,2,2,2,2,2,2,2,2,3,1,2,2,2,3,4,3,1,2,3,3,2,1,2,3,3,4,4,1,3,3,3,3,1,3,3,3,3,3,1.6482896936469,.597155937183981
314,in the year since Donald Trump became President?,12/8/2017,12/8/2017,1,51,4,2,2,3,3,1,4,4,7,4,7,1,1,8,1,1,1,1,9,1,9,9,9,1,9,9,9,1,1,9,2,1,3,2,3,2,5,4,1,3,2,3,3,2,3,4,4,4,4,1,3,3,3,3,2,2,4,4,4,4,1.59357837703532,1.49732770745786
367,in the last year?,12/8/2017,12/8/2017,2,31,4,1,11,1,6,1,2,2,1,2,1,2,3,8,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,5,1,3,3,3,1,6,4,1,3,4,4,4,3,4,3,4,4,4,1,5,5,5,5,5,5,5,5,5,5,1.75871472775978,1.31511660487007
405,in the year since Donald Trump became President?,12/8/2017,12/8/2017,2,82,4,1,2,5,2,1,6,5,12,2,4,1,1,8,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,2,2,2,2,3,3,1,3,2,2,1,1,2,3,3,3,3,1,3,2,2,2,2,2,3,3,3,3,1.6482896936469,1.680795968173
471,in the last year?,12/8/2017,12/8/2017,2,53,4,2,2,7,2,1,4,4,2,2,5,1,1,8,1,1,1,1,1,1,1,9,9,9,9,1,9,9,9,9,1,1,2,2,2,4,3,5,1,4,3,2,3,1,1,3,3,3,3,1,3,3,3,3,1,2,3,3,3,3,1.55582659401357,3.13453852064139
479,in the year since Donald Trump became President?,12/7/2017,12/7/2017,2,54,4,2,3,3,4,7,4,4,7,1,2,2,2,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,3,1,2,2,2,3,4,2,1,4,3,3,1,1,1,3,3,4,4,1,3,2,2,2,2,2,3,3,3,3,1.55582659401357,.326773270487001
584,since the end of the Obama Administration?,12/7/2017,12/7/2017,2,26,4,2,2,7,4,3,2,2,7,4,2,4,3,8,1,1,9,9,9,1,1,9,9,9,9,9,9,9,9,9,3,1,2,2,3,3,3,3,1,3,2,2,2,2,5,2,3,5,3,1,3,3,3,2,3,3,3,3,5,5,1.62289725577644,.508202572095957
695,in the year since Donald Trump became President?,12/8/2017,12/8/2017,2,46,4,2,3,2,4,7,4,4,1,2,3,2,2,8,1,1,1,1,9,1,9,9,9,9,9,9,9,9,9,9,3,1,2,2,2,2,4,4,1,2,3,2,2,2,2,3,3,4,4,1,3,4,3,3,3,3,4,4,4,4,1.55582659401357,1.35942300525511
912,in the year since Donald Trump became President?,12/8/2017,12/8/2017,2,48,4,2,4,8,5,1,4,4,2,2,6,3,4,8,9,9,9,1,9,9,9,9,9,1,9,9,9,9,1,9,4,1,2,2,3,1,5,4,1,3,4,3,3,2,1,4,4,4,4,1,4,4,3,4,2,3,4,3,4,1,1.55582659401357,1.45271375211638
964,in the year since Donald Trump became President?,12/7/2017,12/7/2017,1,82,4,1,2,5,3,1,6,5,7,2,4,1,8,8,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,3,1,4,3,2,4,1,2,2,3,4,4,1,3,3,3,2,2,3,3,3,3,3,1.72101376747922,1.49816045109958
5,since the end of the Obama Administration?,12/8/2017,12/8/2017,1,56,5,1,998,1,6,1,5,5,3,1,6,1,998,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,5,1,2,2,2,3,3,2,1,3,2,3,1,1,2,2,2,2,3,1,5,2,3,2,2,2,2,2,3,3,.887601348505137,.463317212199183
8,since the end of the Obama Administration?,12/7/2017,12/7/2017,1,80,5,1,2,5,4,1,6,5,2,1,5,1,1,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,3,1,2,2,2,2,4,4,1,3,2,3,1,1,1,2,2,2,2,1,3,3,2,2,2,2,2,2,3,3,.897075236164688,1.21074830155797
9,since the end of the Obama Administration?,12/7/2017,12/7/2017,1,77,5,1,3,5,4,1,6,5,1,1,5,1,1,9,1,1,9,9,9,1,9,9,1,9,9,9,1,9,9,9,3,1,2,2,2,3,5,3,1,2,4,4,4,1,3,4,4,3,4,1,3,3,3,4,2,3,4,4,3,4,.897075236164688,.898231935499285
10,since the end of the Obama Administration?,12/8/2017,12/8/2017,2,36,5,1,9,1,5,1,3,3,1,3,6,3,4,9,1,1,1,9,1,1,1,1,1,9,9,1,9,9,9,9,4,1,2,2,3,3,4,2,1,4,2,2,1,1,1,3,2,3,3,1,4,3,2,2,2,3,3,2,3,2,.935974475874469,.737119170462621
12,in the year since Donald Trump became President?,12/7/2017,12/7/2017,2,44,5,1,7,2,2,1,3,3,99,3,1,2,999,9,1,1,9,1,9,1,1,9,1,9,9,9,9,9,9,9,1,1,2,2,2,4,6,2,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,.935974475874469,.714662086117146
18,in the year since Donald Trump became President?,12/7/2017,12/7/2017,2,78,5,1,1,5,3,7,6,5,1,1,1,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,2,2,2,3,5,2,1,3,4,3,2,1,3,4,3,1,4,1,2,4,4,3,2,3,4,3,2,4,.859167947483585,.84173339799756
20,in the last year?,12/7/2017,12/7/2017,1,64,5,1,999,5,5,7,5,5,2,1,1,2,999,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,1,2,2,2,3,4,4,1,4,4,4,3,2,1,2,3,4,3,1,4,3,4,3,3,2,3,3,4,3,.887601348505137,1.06232661418904
22,since the end of the Obama Administration?,12/8/2017,12/8/2017,1,64,5,1,11,2,4,7,5,5,2,2,1,5,4,9,1,1,9,9,9,9,9,9,1,9,9,9,9,9,9,9,3,1,2,2,2,2,3,3,1,2,2,2,2,2,2,2,2,2,2,1,3,3,3,3,3,3,3,3,3,3,.887601348505137,1.33997904228532
23,since the end of the Obama Administration?,12/7/2017,12/7/2017,2,34,5,1,11,7,5,3,2,2,1,3,1,4,4,9,1,1,9,1,9,9,1,9,9,9,9,9,9,9,9,9,4,1,2,2,2,3,4,3,1,2,2,2,2,1,2,3,2,3,3,1,3,3,3,2,2,2,3,3,3,3,.916726791827056,.914645531602375
27,in the year since Donald Trump became President?,12/7/2017,12/7/2017,1,61,5,1,10,1,4,7,5,5,1,1,1,2,5,9,1,9,9,9,1,9,9,1,9,9,9,9,9,9,9,9,3,1,2,2,2,1,4,4,1,3,4,3,2,1,3,3,3,2,4,1,3,3,3,3,2,3,3,3,3,3,.887601348505137,.994105849359135
28,since the end of the Obama Administration?,12/7/2017,12/7/2017,1,73,5,1,8,5,4,7,6,5,1,1,1,2,4,9,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,1,2,2,3,2,4,2,1,5,2,3,1,1,1,1,1,1,3,1,5,2,3,1,2,2,2,2,2,3,.899139511485609,.901783966053235
29,since the end of the Obama Administration?,12/7/2017,12/7/2017,1,67,5,1,998,5,5,7,6,5,1,2,1,3,998,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,4,1,2,2,2,3,5,4,1,4,4,3,3,3,3,4,4,4,4,1,4,3,3,3,3,3,4,4,4,4,.899139511485609,.714928425860643
43,since the end of the Obama Administration?,12/7/2017,12/7/2017,1,73,5,1,6,5,4,7,6,5,1,2,1,2,4,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,1,2,2,2,3,4,2,1,3,2,2,2,1,2,3,3,3,4,1,3,2,2,2,1,2,3,3,3,4,.899139511485609,.901783966053235
47,in the last year?,12/7/2017,12/7/2017,1,76,5,1,3,5,4,7,6,5,2,2,1,2,3,9,1,1,9,9,1,9,9,9,9,9,9,9,9,9,9,9,3,1,2,2,2,2,3,2,1,4,2,3,3,1,2,2,3,3,3,1,3,2,3,3,2,2,3,3,3,3,.897075236164688,1.21074830155797
53,in the year since Donald Trump became President?,12/7/2017,12/7/2017,2,73,5,1,998,5,5,1,6,5,2,2,1,2,999,9,1,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,4,1,2,2,2,3,4,2,1,4,2,3,5,1,2,2,2,3,2,1,4,3,4,3,2,3,2,2,5,2,.935271436960232,.773125812219094
54,since the end of the Obama Administration?,12/7/2017,12/7/2017,1,74,5,1,6,5,4,7,6,5,2,2,1,2,4,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,1,2,2,2,3,2,4,1,3,3,3,3,1,2,3,2,4,2,1,3,3,2,2,2,2,2,2,3,2,.899139511485609,1.21553616846663
58,in the last year?,12/8/2017,12/8/2017,2,63,5,1,1,5,4,1,5,5,1,1,4,1,1,9,1,1,9,1,9,9,9,9,9,9,9,9,9,9,9,9,3,1,2,2,2,3,5,2,1,4,2,1,1,1,1,4,3,3,4,1,4,2,2,2,1,2,4,3,3,4,.921394873610799,.802159250218537
66,in the year since Donald Trump became President?,12/8/2017,12/8/2017,2,27,5,1,11,1,4,1,2,2,99,3,1,2,4,9,1,1,1,2,1,1,1,1,1,2,2,1,2,2,2,2,3,1,2,2,2,3,3,2,1,3,5,2,2,1,1,2,1,4,4,1,3,2,2,2,2,2,2,2,4,4,.916726791827056,.518396707032624
67,in the last year?,12/8/2017,12/8/2017,1,51,5,1,2,2,3,2,4,4,1,4,1,3,1,9,1,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,2,1,2,2,3,3,4,4,1,3,2,2,1,1,1,2,2,1,4,1,3,2,2,1,2,2,3,2,2,3,.900165421997486,1.25412091212381
69,since the end of the Obama Administration?,12/8/2017,12/8/2017,2,30,5,1,7,1,4,1,2,2,3,3,1,2,4,9,1,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,3,1,2,2,3,3,3,4,1,3,3,3,3,3,3,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,.916726791827056,.948333765192231
70,in the last year?,12/8/2017,12/8/2017,2,25,5,1,9,2,5,1,2,2,7,2,2,2,2,9,1,1,9,9,9,1,1,9,1,9,9,9,9,9,9,9,4,1,3,2,3,4,4,3,1,4,3,4,2,2,1,2,3,3,4,1,4,3,4,3,3,2,3,3,3,3,.916726791827056,.219859242151004
74,since the end of the Obama Administration?,12/7/2017,12/7/2017,2,66,5,1,3,5,4,1,6,5,3,2,5,3,998,9,1,1,9,9,9,1,9,9,1,9,9,9,9,9,9,9,3,1,2,2,3,3,4,4,1,3,3,3,2,1,2,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,.935271436960232,.594693502198405
76,in the year since Donald Trump became President?,12/8/2017,12/8/2017,2,41,5,1,13,1,5,1,3,3,98,3,2,2,8,9,1,1,9,9,1,1,9,1,1,9,9,1,9,9,9,9,4,1,2,2,2,3,4,2,1,3,3,3,3,1,2,3,3,3,3,1,3,3,3,3,2,2,3,3,3,3,.935974475874469,.331212851200221
78,in the year since Donald Trump became President?,12/8/2017,12/8/2017,1,55,5,1,9,1,7,3,5,5,98,2,5,3,4,9,1,1,9,9,1,9,9,1,1,9,9,9,9,9,9,9,5,1,2,2,3,2,4,2,1,3,2,2,4,1,2,2,2,4,3,1,3,2,2,4,2,2,2,2,4,3,.887601348505137,.253267494980426
80,since the end of the Obama Administration?,12/7/2017,12/7/2017,1,75,5,2,998,5,4,7,6,5,12,3,2,2,998,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,3,1,2,2,2,4,6,4,1,5,5,5,5,1,5,5,5,5,5,1,5,5,5,5,2,5,5,5,5,5,.827798230160453,.605326419147188
88,in the year since Donald Trump became President?,12/7/2017,12/7/2017,1,70,5,1,998,1,5,7,6,5,6,1,1,2,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,4,1,2,2,2,3,4,4,1,4,4,4,4,1,4,4,4,4,4,1,4,3,3,3,2,3,2,2,4,4,.899139511485609,.599416300470764
97,since the end of the Obama Administration?,12/8/2017,12/8/2017,2,48,5,1,8,2,3,2,4,4,2,1,1,3,4,9,1,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,2,1,1,1,1,1,2,4,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,.878840553271448,1.27326332296562
100,in the year since Donald Trump became President?,12/7/2017,12/7/2017,2,56,5,1,998,8,2,7,5,5,99,4,1,2,998,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,1,1,2,2,2,4,5,5,1,3,3,3,3,2,3,4,4,4,4,1,3,3,3,3,3,3,4,4,4,4,.921394873610799,.616571843912121
101,in the last year?,12/7/2017,12/7/2017,1,56,5,1,9,1,5,2,5,5,2,1,1,3,3,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,1,3,3,3,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,2,.887601348505137,1.06232661418904
103,in the year since Donald Trump became President?,12/8/2017,12/8/2017,2,43,5,1,6,1,3,1,3,3,1,2,7,1,3,9,1,1,1,9,9,1,9,9,9,9,9,9,9,9,9,9,2,1,2,2,3,3,3,3,1,2,2,2,2,1,2,2,2,2,2,1,3,3,3,3,3,3,3,3,3,3,.935974475874469,1.18393558904622
107,since the end of the Obama Administration?,12/8/2017,12/8/2017,1,61,5,1,12,1,6,7,5,5,2,1,1,3,7,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,5,1,2,2,2,1,4,2,1,4,2,3,3,1,4,3,3,4,2,1,5,2,3,3,2,3,2,3,3,2,.887601348505137,.759758134218645
108,in the last year?,12/8/2017,12/8/2017,1,56,5,1,6,1,4,1,5,5,1,2,7,1,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,3,1,2,2,3,3,5,3,1,2,3,3,1,1,2,3,3,3,4,1,3,3,3,1,2,2,4,3,3,4,.887601348505137,.994105849359135
150,since the end of the Obama Administration?,12/7/2017,12/7/2017,2,35,5,1,5,7,4,1,3,3,1,2,3,2,4,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,3,1,2,2,2,2,2,2,1,3,2,2,2,2,1,2,2,2,2,1,3,2,2,2,2,2,2,2,2,2,.935974475874469,.929774540987721
155,in the last year?,12/8/2017,12/8/2017,2,63,5,1,10,5,4,7,5,5,1,2,1,2,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,3,1,2,2,3,3,4,3,1,5,2,2,2,1,2,3,3,3,3,1,5,2,2,2,2,2,3,3,3,3,.921394873610799,.802159250218537
172,in the year since Donald Trump became President?,12/8/2017,12/8/2017,2,86,5,1,1,5,4,7,6,5,11,2,4,6,1,9,1,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,3,1,2,2,3,3,4,2,1,3,2,2,1,1,1,2,2,2,3,1,2,2,3,1,1,1,2,2,2,3,.859167947483585,.00202442791663274
181,since the end of the Obama Administration?,12/7/2017,12/7/2017,2,31,5,1,998,7,6,2,2,2,98,2,1,3,998,9,1,1,9,9,9,9,9,9,1,9,9,9,9,9,9,9,5,1,4,4,4,4,6,6,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,.916726791827056,.293927070865586
220,in the year since Donald Trump became President?,12/7/2017,12/7/2017,2,72,5,1,6,5,3,7,6,5,1,3,1,2,999,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,2,2,3,3,5,4,1,3,2,2,1,1,1,3,4,2,4,1,3,2,2,1,1,2,3,2,2,3,.935271436960232,.921245047150349
230,in the last year?,12/8/2017,12/8/2017,2,51,5,1,998,6,6,7,4,4,98,4,1,5,998,9,1,1,9,9,9,9,9,9,1,9,9,9,1,9,9,9,5,1,4,4,4,4,6,6,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,.878840553271448,.188994537818429
264,since the end of the Obama Administration?,12/7/2017,12/7/2017,2,74,5,1,2,2,3,7,6,5,12,3,1,2,7,9,1,9,9,1,1,9,9,1,9,9,9,9,9,9,9,9,2,1,2,2,2,2,3,4,1,2,2,2,3,1,2,3,3,3,3,1,3,3,3,3,2,3,3,3,3,3,.935271436960232,.681111577783725
280,since the end of the Obama Administration?,12/8/2017,12/8/2017,1,59,5,1,1,1,2,1,5,5,1,3,5,1,1,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,3,2,3,3,4,2,1,2,2,2,2,5,1,3,2,2,3,1,3,3,3,3,5,2,3,3,3,3,.887601348505137,1.70053763824264
300,in the last year?,12/8/2017,12/8/2017,2,55,5,1,998,4,4,7,5,5,3,2,1,5,998,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,1,2,2,2,3,3,3,1,3,3,3,2,1,2,3,3,3,3,1,3,3,2,2,2,3,3,3,3,3,.921394873610799,.659369795022859
306,in the last year?,12/7/2017,12/7/2017,2,48,5,1,998,7,4,2,4,4,2,2,1,4,998,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,1,9,3,1,2,2,2,2,3,3,1,3,2,3,2,2,2,2,2,3,3,1,5,3,5,2,3,2,3,3,4,3,.878840553271448,.999925868112948
315,since the end of the Obama Administration?,12/7/2017,12/7/2017,2,25,5,1,5,4,4,1,2,2,3,2,2,2,2,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,1,2,2,2,3,5,3,1,3,3,3,2,1,2,3,3,4,4,1,3,3,4,5,2,2,4,3,4,4,.916726791827056,.948333765192231
317,since the end of the Obama Administration?,12/8/2017,12/8/2017,2,61,5,1,7,2,4,1,5,5,1,1,7,2,3,9,1,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,3,1,2,2,2,3,3,3,1,2,2,2,2,1,2,2,2,2,3,1,3,3,2,2,2,2,3,2,2,3,.921394873610799,.802159250218537
334,in the year since Donald Trump became President?,12/7/2017,12/7/2017,2,48,5,1,1,6,2,1,4,4,12,1,7,2,7,9,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,5,3,1,2,4,3,3,2,3,3,3,4,4,1,3,4,3,5,3,3,3,3,4,4,.878840553271448,.938208024502909
